,version,precio,combustible,CV,km,lugar,año,link,modelo,marca
558,Cupra Formentor 1.5 TSI 150,25.9,  Gasolina,Unknown,                 20.056               ,                              Cadiz             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-15-tsi-150-en-cadiz.htm?id=6848697,Formentor,Cupra
559,Kia Rio 1.4CRDi Concept,8.99,  Diesel,Unknown,                 129.000               ,                              Madrid             ,2014,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-14crdi-concept-en-madrid.htm?id=6848609,Rio,Kia
560,Tesla Model Y Gran Autonomia AWD,65.899,  Eléctrico,Unknown,                 3.396               ,                              Malaga             ,2021,https://www.coches.com/km0/seminuevo-tesla-model+y-gran-autonomia-awd-en-malaga.htm?id=6848539,Model,Tesla
561,Smart Fortwo Coupé 66 Passion Aut.,8.99,  Gasolina,Unknown,                 63.000               ,                              Salamanca             ,2015,https://www.coches.com/coches-segunda-mano/ocasion-smart-fortwo-coupe-66-passion-aut-en-salamanca.htm?id=6846757,Fortwo,Smart
562,Iveco Daily Chasis Cabina 35S15/2.3 3450 146,22.99,  Diesel,Unknown,                 164.000               ,                              Barcelona             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-iveco-daily-chasis-cabina-35s1523-3450-146-en-barcelona.htm?id=6846727,Daily,Iveco
563,Seat Altea XL 1.9TDI Stylance,5.89,  Diesel,Unknown,                 127.360               ,                              Navarra             ,2008,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-19tdi-stylance-en-navarra.htm?id=6846373,Altea,Seat
564,Porsche Panamera Turbo Aut.,34.9,  Gasolina,Unknown,                 148.765               ,                              Madrid             ,2010,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-turbo-aut-en-madrid.htm?id=6846293,Panamera,Porsche
565,Opel Vivaro1.6CDTi 29 L1H1 Expression 120,13.95,  Diesel,Unknown,                 127.000               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-opel-vivaro-16cdti-29-l1h1-expression-120-en-madrid.htm?id=6846233,Vivaro1.6CDTi,Opel
566,Peugeot 308 1.6e-HDI Business Line,8.89,  Diesel,Unknown,                 152.027               ,                              Navarra             ,2014,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-16e-hdi-business-line-en-navarra.htm?id=6846175,308,Peugeot
567,Mini Mini One,6.5,  Gasolina,Unknown,                 107.800               ,                              Murcia             ,2007,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-murcia.htm?id=6846111,Mini,Mini
568,Renault Clio Soci…Clio 4 Societé 1.5dCi,5.2,  Diesel,Unknown,                 120.000               ,                              Madrid             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-en-madrid.htm?id=6845871,Clio,Renault
