make,model,price,fuel,year,kms,power,doors,shift,is_professional,province,link
NISSAN,Micra,6500,Gasolina,2014,71806,80,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-naru-edition-en-rioja+la.htm?id=6893946
NISSAN,Qashqai,13990,Diésel,2015,139734,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-360-4x2-en-rioja+la.htm?id=6893944
NISSAN,Navara,23500,Diésel,2017,67836,161,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-visia-en-rioja+la.htm?id=6905098
MERCEDES-BENZ,Clase B,12000,Diésel,2012,0,136,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+b-b-200cdi-be-475-en-rioja+la.htm?id=6907038
LAND ROVER,Defender,25900,Diésel,1998,207946,112,2,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-tdi-hcpu-en-rioja+la.htm?id=6907034
NISSAN,Pulsar,13900,Diésel,2017,58350,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-15-dci-acenta-en-rioja+la.htm?id=6897464
NISSAN,Qashqai,27990,Gasolina,2021,11200,140,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-n-tec-4x2-103kw-en-rioja+la.htm?id=6897462
MINI,Mini,14990,Diésel,2015,57754,116,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-d-en-vizcaya.htm?id=6816273
NISSAN,Juke,19500,Gasolina,2021,4184,114,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-114-en-vizcaya.htm?id=6726528
MERCEDES-BENZ,Clase C,11400,Gasolina,2009,84158,156,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-180-k-be-classic-en-granada.htm?id=6918055
PEUGEOT,3008,18500,Diésel,2018,153000,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-16bluehdi-gt-line-s_s-120-en-vizcaya.htm?id=6766023
NISSAN,Nv200,29524,Eléctrico,2020,0,109,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-nv200-e--combi-5-profesional-40kwh-en-vizcaya.htm?id=6759187
NISSAN,Leaf,28400,Eléctrico,2021,285000,150,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-leaf-40-kwh-acenta-en-vizcaya.htm?id=6878946
NISSAN,XTrail,29500,Diésel,2021,17400,150,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-17-dci-n-connecta-4x2-cvt-en-vizcaya.htm?id=6816275
NISSAN,Townstar,19900,Gasolina,2022,110000,130,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-townstar+m1-townstar-combi-13g-n-connecta-l1-5pl-en-vizcaya.htm?id=6878758
NISSAN,Qashqai,25900,Gasolina,2022,1567,140,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-vizcaya.htm?id=6878944
NISSAN,XTrail,30975,Diésel,2021,19603,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-17-dci-tekna-4x2-en-vizcaya.htm?id=6834499
OPEL,Mokka,16900,Diésel,2018,62500,136,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-16cdti-s_s-innovation-4x2-aut-en-vizcaya.htm?id=6878954
NISSAN,Qashqai,29900,Gasolina,2022,0,158,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-n-connecta-4x2-aut-116kw-en-vizcaya.htm?id=6878952
OPEL,Corsa,8900,Gasolina,2017,68900,75,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-expression-75-en-vizcaya.htm?id=6878956
NISSAN,Micra,16500,Gasolina,2022,0,92,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-kiiro-92-en-vizcaya.htm?id=6878950
NISSAN,Qashqai,32900,Gasolina,2022,0,158,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-tekna-4x2-aut-116kw-en-vizcaya.htm?id=6878948
FORD,Ecosport,19510,Gasolina,2019,0,125,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-ecosport-10-ecoboost-trend-125-en-cantabria.htm?id=6521709
NISSAN,Qashqai,23500,Gasolina,2021,12855,140,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-n-connecta-4x2-103kw-en-vizcaya.htm?id=6913181
NISSAN,Micra,11900,Gasolina,2019,18162,100,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-vizcaya.htm?id=6910200
KIA,Ceed,18590,Gasolina,2020,20535,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-tourer-10-t-gdi-eco-dynamics-gt-line-120-en-vizcaya.htm?id=6905096
NISSAN,Note,9400,Diésel,2017,105763,90,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-note-15dci-naru-edition-en-vizcaya.htm?id=6878960
FORD,Puma,20900,Gasolina,2021,2859,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-puma-10-ecoboost-mhev-titanium-125-en-cantabria.htm?id=6769452
FORD,Ecosport,21000,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-st-line-125-en-cantabria.htm?id=6628520
FORD,Ecosport,22575,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-st-line-125-en-cantabria.htm?id=6628518
MINI,Mini,11300,Gasolina,2013,131000,122,2,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-coupe-cooper-en-cantabria.htm?id=6552147
FORD,Focus,21500,Gasolina,2019,37872,124,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-active-125-en-cantabria.htm?id=6533907
FORD,Focus,17500,Gasolina,2020,5400,100,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-focus-10-ecoboost-trend-100-en-cantabria.htm?id=6780094
FORD,Ecosport,20895,Gasolina,2021,807000,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-st-line-125-en-cantabria.htm?id=6843835
FORD,Ecosport,21939,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-st-line-125-en-cantabria.htm?id=6798510
FORD,Ecosport,20950,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-cantabria.htm?id=6798508
FORD,Focus,26000,Diésel,2019,9281,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-20ecoblue-active-150-en-cantabria.htm?id=6780096
FORD,Focus,27298,Diésel,2021,33802,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-15-ecoblue-active-x-120-en-cantabria.htm?id=6905092
FORD,Puma,27000,Gasolina,2022,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-puma-10-ecoboost-mhev-st-line-x-125-en-cantabria.htm?id=6910190
FORD,Puma,26985,Gasolina,2022,5915,155,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-puma-10-ecoboost-mhev-st-line-x-155-en-cantabria.htm?id=6910188
SUZUKI,Swift,3500,Gasolina,2005,196189,92,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-gl-en-cantabria.htm?id=6893938
FORD,Kuga,19990,Gasolina,2019,31786,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecob-auto-s_s-st-line-4x2-120-en-cantabria.htm?id=6881932
FORD,Kuga,32125,Híbrido,2021,29300,225,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-25-duratec-phev-titanium-4x2-en-cantabria.htm?id=6913179
FORD,Ecosport,16300,Gasolina,2020,30198,100,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-ecosport-10-ecoboost-trend-100-en-cantabria.htm?id=6917593
FORD,Ecosport,15900,Gasolina,2019,21500,125,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-ecosport-10-ecoboost-trend-125-en-cantabria.htm?id=6917591
FORD,Mondeo,17500,Diésel,2015,88097,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-150-en-cantabria.htm?id=6910196
FORD,Kuga,42900,Híbrido,2022,2021,225,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-ford-kuga-25-duratec-phev-st-line-4x2-en-cantabria.htm?id=6910192
FORD,Kuga,16900,Gasolina,2018,61197,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecob-auto-s_s-trend+-4x2-120-en-asturias.htm?id=6855478
FIAT,Punto,9200,Diésel,2016,73463,95,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-fiat-punto-13mjt-pop-70kw-en-asturias.htm?id=6843827
CITROEN,C4,13200,Diésel,2017,123396,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16bluehdi-s_s-live-120-en-asturias.htm?id=6843825
OPEL,Grandland,18800,Diésel,2019,114400,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-opel-grandland+x-15cdti-s_s-selective-130-en-asturias.htm?id=6843821
CITROEN,C3,19110,Gasolina,2021,0,110,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-puretech-s_s-c-series-110-en-asturias.htm?id=6628498
CITROEN,C3,15600,Gasolina,2022,0,83,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c3-12-puretech-s_s-c-series-83-en-asturias.htm?id=6893934
CITROEN,C3,16800,Gasolina,2022,0,83,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c3-12-puretech-s_s-feel-83-en-asturias.htm?id=6893932
CITROEN,C5,24700,Gasolina,2022,0,130,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-puretech-s_s-feel-130-en-asturias.htm?id=6878934
CITROEN,C4,27900,Diésel,2022,0,130,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c4-15-bluehdi-s_s-shine-eat8-130-en-asturias.htm?id=6866806
CITROEN,C4,16800,Gasolina,2018,1432,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-shine-110-en-asturias.htm?id=6913137
CITROEN,C3,13300,Diésel,2018,28761,75,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-16bluehdi-s_s-feel-75-en-asturias.htm?id=6913135
CITROEN,C3,13100,Diésel,2018,21000,75,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-16bluehdi-s_s-feel-75-en-asturias.htm?id=6913133
CITROEN,C5,24800,Diésel,2019,33532,176,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-shine-eat8-180-en-asturias.htm?id=6913129
CITROEN,C5,24200,Diésel,2020,47973,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-feel-130-en-asturias.htm?id=6913131
